customer_id,total_spend,avg_spend,max_spend,previous_purchases,avg_review_rating,age,gender,location,subscription_status,preferred_payment,preferred_shipping,category_diversity,product_diversity,discount_orders,promo_orders,purchase_frequency,aov,total_transactions,repeat_customer_flag,promo_dependency_score,satisfaction_flag,spend_score,frequency_score,purchase_history_score,value_score,value_tier,organic_spend,organic_spend_ratio,avg_discount_spend,avg_non_discount_spend,discount_sensitivity_score,high_margin_customer,organic_demand_score,risk_flag,loyalty_score_1,review_score_normalized,low_promo_score,loyalty_score_2,loyalty1_group,loyalty2_group,customer_segment,strategic_segment,Season,Category
551,62,62.0,62,12,3.3,62,Male,Georgia,Yes,Paypal,Store Pickup,1,1,1,1,Weekly,5.17,1,0,1.0,Unsatisfied,0.525,0.0,0.2244897959183673,30.74,Silver,0.0,0.0,62.0,0.0,1.0,No,21.0,High Risk,8.98,0.32,0.0,30.6,Low,Low,Discount Hunters,Promo Locked,Summer,Accessories
552,78,78.0,78,27,3.1,29,Male,Idaho,Yes,Cash,2-Day Shipping,1,1,1,1,Bi-Weekly,2.89,1,0,1.0,Unsatisfied,0.7250000000000001,0.0,0.5306122448979591,46.86,Gold,0.0,0.0,78.0,0.0,1.0,No,29.0,High Risk,21.22,0.2400000000000002,0.0,36.2,Medium,Low,Discount Hunters,Promo Locked,Fall,Outerwear
553,94,94.0,94,18,3.5,24,Male,Missouri,Yes,Bank Transfer,Express,1,1,1,1,Weekly,5.22,1,0,1.0,Unsatisfied,0.925,0.0,0.346938775510204,53.19,Platinum,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,13.88,0.4000000000000001,0.0,49.0,Medium,Medium,Discount Hunters,Promo Locked,Fall,Clothing
554,59,59.0,59,15,3.2,63,Male,Florida,Yes,Credit Card,Express,1,1,1,1,Quarterly,3.93,1,0,1.0,Unsatisfied,0.4875,0.0,0.2857142857142856,30.09,Silver,0.0,0.0,59.0,0.0,1.0,No,19.5,High Risk,11.43,0.2800000000000002,0.0,27.9,Low,Low,Discount Hunters,Promo Locked,Winter,Accessories
555,47,47.0,47,34,3.0,56,Male,Minnesota,Yes,Bank Transfer,Express,1,1,1,1,Weekly,1.38,1,0,1.0,Unsatisfied,0.3375,0.0,0.673469387755102,30.34,Silver,0.0,0.0,47.0,0.0,1.0,No,13.5,High Risk,26.94,0.2000000000000001,0.0,19.5,High,Low,Discount Hunters,Promo Locked,Summer,Footwear
556,57,57.0,57,37,4.8,63,Male,Maine,Yes,Venmo,Express,1,1,1,1,Annually,1.54,1,0,1.0,Unsatisfied,0.4625,0.0,0.7346938775510203,37.82,Gold,0.0,0.0,57.0,0.0,1.0,No,18.5,Low Risk,29.39,0.92,0.0,46.1,High,Medium,Discount Hunters,Promo Locked,Fall,Accessories
557,90,90.0,90,21,5.0,40,Male,Montana,Yes,Cash,Store Pickup,1,1,1,1,Fortnightly,4.29,1,0,1.0,Unsatisfied,0.875,0.0,0.4081632653061224,51.91,Platinum,0.0,0.0,90.0,0.0,1.0,No,35.0,Low Risk,16.33,1.0,0.0,65.0,Medium,High,Discount Hunters,Promo Locked,Winter,Outerwear
558,60,60.0,60,31,2.9,18,Male,Alaska,Yes,Debit Card,Free Shipping,1,1,1,1,Weekly,1.94,1,0,1.0,Unsatisfied,0.5,0.0,0.6122448979591836,37.24,Gold,0.0,0.0,60.0,0.0,1.0,No,20.0,High Risk,24.49,0.1599999999999999,0.0,24.8,Medium,Low,Discount Hunters,Promo Locked,Spring,Clothing
559,77,77.0,77,43,3.2,50,Male,Iowa,Yes,Debit Card,Express,1,1,1,1,Every 3 Months,1.79,1,0,1.0,Unsatisfied,0.7125,0.0,0.8571428571428571,52.77,Platinum,0.0,0.0,77.0,0.0,1.0,No,28.5,High Risk,34.29,0.2800000000000002,0.0,36.9,High,Low,Discount Hunters,Promo Locked,Fall,Footwear
560,41,41.0,41,22,2.9,66,Male,Arizona,Yes,Bank Transfer,Store Pickup,1,1,1,1,Monthly,1.86,1,0,1.0,Unsatisfied,0.2625,0.0,0.4285714285714285,21.7,Bronze,0.0,0.0,41.0,0.0,1.0,No,10.5,High Risk,17.14,0.1599999999999999,0.0,15.3,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
561,48,48.0,48,12,3.750064716541548,25,Male,Louisiana,Yes,Debit Card,Free Shipping,1,1,1,1,Annually,4.0,1,0,1.0,Unsatisfied,0.3500000000000001,0.0,0.2244897959183673,21.99,Bronze,0.0,0.0,48.0,0.0,1.0,No,14.0,Low Risk,8.98,,0.0,,Low,,Discount Hunters,Promo Locked,Fall,Accessories
562,65,65.0,65,25,2.6,65,Male,Alabama,Yes,Paypal,Next Day Air,1,1,1,1,Fortnightly,2.6,1,0,1.0,Unsatisfied,0.5625,0.0,0.4897959183673469,37.92,Gold,0.0,0.0,65.0,0.0,1.0,No,22.5,High Risk,19.59,0.04,0.0,23.7,Medium,Low,Discount Hunters,Promo Locked,Fall,Outerwear
563,62,62.0,62,40,3.5,53,Male,Missouri,Yes,Debit Card,Standard,1,1,1,1,Annually,1.55,1,0,1.0,Unsatisfied,0.525,0.0,0.7959183673469387,42.17,Gold,0.0,0.0,62.0,0.0,1.0,No,21.0,Low Risk,31.84,0.4000000000000001,0.0,33.0,High,Low,Discount Hunters,Promo Locked,Summer,Clothing
564,99,99.0,99,16,4.4,61,Male,Idaho,Yes,Debit Card,Standard,1,1,1,1,Quarterly,6.19,1,0,1.0,Unsatisfied,0.9875,0.0,0.3061224489795918,55.5,Platinum,0.0,0.0,99.0,0.0,1.0,No,39.5,Low Risk,12.24,0.7600000000000002,0.0,62.3,Low,High,Discount Hunters,Promo Locked,Fall,Footwear
565,58,58.0,58,30,3.4,67,Male,Florida,Yes,Bank Transfer,Next Day Air,1,1,1,1,Weekly,1.93,1,0,1.0,Unsatisfied,0.4750000000000001,0.0,0.5918367346938774,35.59,Gold,0.0,0.0,58.0,0.0,1.0,No,19.0,High Risk,23.67,0.3600000000000001,0.0,29.8,Medium,Low,Discount Hunters,Promo Locked,Winter,Clothing
566,43,43.0,43,10,4.2,59,Male,Idaho,Yes,Venmo,Store Pickup,1,1,1,1,Weekly,4.3,1,0,1.0,Unsatisfied,0.2875,0.0,0.183673469387755,18.05,Bronze,0.0,0.0,43.0,0.0,1.0,No,11.5,Low Risk,7.35,0.6800000000000002,0.0,31.9,Low,Low,Discount Hunters,Promo Locked,Fall,Accessories
567,93,93.0,93,1,3.6,55,Male,Alabama,Yes,Debit Card,Store Pickup,1,1,1,1,Fortnightly,93.0,1,0,1.0,Unsatisfied,0.9125,0.0,0.0,45.63,Gold,0.0,0.0,93.0,0.0,1.0,No,36.5,Low Risk,0.0,0.4400000000000001,0.0,49.7,Low,Medium,Discount Hunters,Promo Locked,Spring,Footwear
568,50,50.0,50,24,3.0,21,Male,New Hampshire,Yes,Venmo,Next Day Air,1,1,1,1,Fortnightly,2.08,1,0,1.0,Unsatisfied,0.375,0.0,0.4693877551020408,28.14,Silver,0.0,0.0,50.0,0.0,1.0,No,15.0,High Risk,18.78,0.2000000000000001,0.0,21.0,Medium,Low,Discount Hunters,Promo Locked,Winter,Clothing
569,88,88.0,88,36,4.0,44,Male,Utah,Yes,Paypal,Free Shipping,1,1,1,1,Monthly,2.44,1,0,1.0,Unsatisfied,0.8500000000000001,0.0,0.7142857142857142,56.79,Platinum,0.0,0.0,88.0,0.0,1.0,No,34.0,Low Risk,28.57,0.6000000000000001,0.0,52.0,High,Medium,Discount Hunters,Promo Locked,Summer,Clothing
570,33,33.0,33,46,4.4,65,Male,Alabama,Yes,Credit Card,Express,1,1,1,1,Every 3 Months,0.72,1,0,1.0,Unsatisfied,0.1625,0.0,0.9183673469387754,26.49,Silver,0.0,0.0,33.0,0.0,1.0,No,6.5,Low Risk,36.73,0.7600000000000002,0.0,29.3,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
571,99,99.0,99,20,4.1,65,Male,Iowa,Yes,Cash,Standard,1,1,1,1,Annually,4.95,1,0,1.0,Unsatisfied,0.9875,0.0,0.3877551020408162,57.13,Platinum,0.0,0.0,99.0,0.0,1.0,No,39.5,Low Risk,15.51,0.6399999999999999,0.0,58.7,Medium,Medium,Discount Hunters,Promo Locked,Fall,Clothing
572,76,76.0,76,37,3.6,54,Male,Kentucky,Yes,Venmo,Free Shipping,1,1,1,1,Weekly,2.05,1,0,1.0,Unsatisfied,0.7000000000000001,0.0,0.7346938775510203,49.69,Platinum,0.0,0.0,76.0,0.0,1.0,No,28.0,Low Risk,29.39,0.4400000000000001,0.0,41.2,High,Low,Discount Hunters,Promo Locked,Spring,Outerwear
573,97,97.0,97,26,4.6,56,Male,South Carolina,Yes,Bank Transfer,Next Day Air,1,1,1,1,Annually,3.73,1,0,1.0,Unsatisfied,0.9625,0.0,0.510204081632653,58.33,Platinum,0.0,0.0,97.0,0.0,1.0,No,38.5,Low Risk,20.41,0.8399999999999999,0.0,63.7,Medium,High,Discount Hunters,Promo Locked,Summer,Accessories
574,68,68.0,68,23,3.2,58,Male,California,Yes,Credit Card,2-Day Shipping,1,1,1,1,Bi-Weekly,2.96,1,0,1.0,Unsatisfied,0.6000000000000001,0.0,0.4489795918367346,38.98,Gold,0.0,0.0,68.0,0.0,1.0,No,24.0,High Risk,17.96,0.2800000000000002,0.0,32.4,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
575,79,79.0,79,20,4.8,54,Male,Maine,Yes,Bank Transfer,Free Shipping,1,1,1,1,Bi-Weekly,3.95,1,0,1.0,Unsatisfied,0.7375,0.0,0.3877551020408162,44.63,Gold,0.0,0.0,79.0,0.0,1.0,No,29.5,Low Risk,15.51,0.92,0.0,57.1,Medium,Medium,Discount Hunters,Promo Locked,Fall,Footwear
576,86,86.0,86,38,4.8,58,Male,Nebraska,Yes,Paypal,Express,1,1,1,1,Monthly,2.26,1,0,1.0,Unsatisfied,0.825,0.0,0.7551020408163265,56.35,Platinum,0.0,0.0,86.0,0.0,1.0,No,33.0,Low Risk,30.2,0.92,0.0,60.6,High,Medium,Discount Hunters,Promo Locked,Fall,Clothing
577,68,68.0,68,5,5.0,48,Male,Washington,Yes,Credit Card,2-Day Shipping,1,1,1,1,Every 3 Months,13.6,1,0,1.0,Unsatisfied,0.6000000000000001,0.0,0.0816326530612244,31.63,Silver,0.0,0.0,68.0,0.0,1.0,No,24.0,Low Risk,3.27,1.0,0.0,54.0,Low,Medium,Discount Hunters,Promo Locked,Winter,Accessories
578,52,52.0,52,41,3.7,19,Male,Alabama,Yes,Venmo,Store Pickup,1,1,1,1,Annually,1.27,1,0,1.0,Unsatisfied,0.4,0.0,0.8163265306122448,36.33,Gold,0.0,0.0,52.0,0.0,1.0,No,16.0,Low Risk,32.65,0.4800000000000002,0.0,30.4,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
579,90,90.0,90,22,4.6,69,Male,Maine,Yes,Credit Card,Next Day Air,1,1,1,1,Fortnightly,4.09,1,0,1.0,Unsatisfied,0.875,0.0,0.4285714285714285,52.32,Platinum,0.0,0.0,90.0,0.0,1.0,No,35.0,Low Risk,17.14,0.8399999999999999,0.0,60.2,Medium,Medium,Discount Hunters,Promo Locked,Fall,Footwear
580,41,41.0,41,48,3.7,58,Male,California,Yes,Credit Card,Free Shipping,1,1,1,1,Annually,0.85,1,0,1.0,Unsatisfied,0.2625,0.0,0.9591836734693876,32.31,Silver,0.0,0.0,41.0,0.0,1.0,No,10.5,Low Risk,38.37,0.4800000000000002,0.0,24.9,High,Low,Discount Hunters,Promo Locked,Winter,Footwear
581,80,80.0,80,10,4.1,49,Male,Iowa,Yes,Paypal,Free Shipping,1,1,1,1,Weekly,8.0,1,0,1.0,Unsatisfied,0.75,0.0,0.183673469387755,41.17,Gold,0.0,0.0,80.0,0.0,1.0,No,30.0,Low Risk,7.35,0.6399999999999999,0.0,49.2,Low,Medium,Discount Hunters,Promo Locked,Spring,Clothing
582,100,100.0,100,12,2.7,32,Male,Iowa,Yes,Bank Transfer,Store Pickup,1,1,1,1,Every 3 Months,8.33,1,0,1.0,Unsatisfied,1.0,0.0,0.2244897959183673,54.49,Platinum,0.0,0.0,100.0,0.0,1.0,No,40.0,High Risk,8.98,0.08,0.0,42.4,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
583,77,77.0,77,2,4.9,40,Male,Colorado,Yes,Bank Transfer,Store Pickup,1,1,1,1,Quarterly,38.5,1,0,1.0,Unsatisfied,0.7125,0.0,0.0204081632653061,36.03,Gold,0.0,0.0,77.0,0.0,1.0,No,28.5,Low Risk,0.82,0.9600000000000002,0.0,57.3,Low,Medium,Discount Hunters,Promo Locked,Spring,Outerwear
584,78,78.0,78,38,4.0,25,Male,California,Yes,Paypal,Store Pickup,1,1,1,1,Monthly,2.05,1,0,1.0,Unsatisfied,0.7250000000000001,0.0,0.7551020408163265,51.35,Platinum,0.0,0.0,78.0,0.0,1.0,No,29.0,Low Risk,30.2,0.6000000000000001,0.0,47.0,High,Medium,Discount Hunters,Promo Locked,Spring,Clothing
585,94,94.0,94,20,4.7,70,Male,Indiana,Yes,Debit Card,Free Shipping,1,1,1,1,Monthly,4.7,1,0,1.0,Unsatisfied,0.925,0.0,0.3877551020408162,54.01,Platinum,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,15.51,0.8800000000000001,0.0,63.4,Medium,High,Discount Hunters,Promo Locked,Spring,Clothing
586,23,23.0,23,5,2.8,69,Male,South Carolina,Yes,Cash,Next Day Air,1,1,1,1,Every 3 Months,4.6,1,0,1.0,Unsatisfied,0.0375,0.0,0.0816326530612244,3.51,Bronze,0.0,0.0,23.0,0.0,1.0,No,1.5,High Risk,3.27,0.1199999999999998,0.0,5.1,Low,Low,Discount Hunters,Promo Locked,Fall,Clothing
587,20,20.0,20,9,4.9,45,Male,Wisconsin,Yes,Venmo,2-Day Shipping,1,1,1,1,Annually,2.22,1,0,1.0,Unsatisfied,0.0,0.0,0.1632653061224489,3.27,Bronze,0.0,0.0,20.0,0.0,1.0,No,0.0,Low Risk,6.53,0.9600000000000002,0.0,28.8,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
588,86,86.0,86,48,4.2,29,Male,Washington,Yes,Debit Card,Express,1,1,1,1,Every 3 Months,1.79,1,0,1.0,Unsatisfied,0.825,0.0,0.9591836734693876,60.43,Platinum,0.0,0.0,86.0,0.0,1.0,No,33.0,Low Risk,38.37,0.6800000000000002,0.0,53.4,High,Medium,Discount Hunters,Promo Locked,Fall,Clothing
589,60,60.0,60,9,3.0,47,Male,South Dakota,Yes,Debit Card,Standard,1,1,1,1,Quarterly,6.67,1,0,1.0,Unsatisfied,0.5,0.0,0.1632653061224489,28.27,Silver,0.0,0.0,60.0,0.0,1.0,No,20.0,High Risk,6.53,0.2000000000000001,0.0,26.0,Low,Low,Discount Hunters,Promo Locked,Fall,Footwear
590,70,70.0,70,40,3.4,28,Male,Minnesota,Yes,Paypal,2-Day Shipping,1,1,1,1,Annually,1.75,1,0,1.0,Unsatisfied,0.625,0.0,0.7959183673469387,47.17,Gold,0.0,0.0,70.0,0.0,1.0,No,25.0,High Risk,31.84,0.3600000000000001,0.0,35.8,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
591,39,39.0,39,30,4.6,64,Male,Alaska,Yes,Venmo,Standard,1,1,1,1,Fortnightly,1.3,1,0,1.0,Unsatisfied,0.2375,0.0,0.5918367346938774,23.71,Silver,0.0,0.0,39.0,0.0,1.0,No,9.5,Low Risk,23.67,0.8399999999999999,0.0,34.7,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
592,37,37.0,37,6,4.2,47,Male,Kentucky,Yes,Debit Card,Store Pickup,1,1,1,1,Bi-Weekly,6.17,1,0,1.0,Unsatisfied,0.2125,0.0,0.1020408163265306,12.67,Bronze,0.0,0.0,37.0,0.0,1.0,No,8.5,Low Risk,4.08,0.6800000000000002,0.0,28.9,Low,Low,Discount Hunters,Promo Locked,Fall,Accessories
593,29,29.0,29,42,3.2,60,Male,North Dakota,Yes,Venmo,Free Shipping,1,1,1,1,Every 3 Months,0.69,1,0,1.0,Unsatisfied,0.1125,0.0,0.836734693877551,22.36,Silver,0.0,0.0,29.0,0.0,1.0,No,4.5,High Risk,33.47,0.2800000000000002,0.0,12.9,High,Low,Discount Hunters,Promo Locked,Fall,Footwear
594,35,35.0,35,9,4.4,67,Male,Alaska,Yes,Paypal,Store Pickup,1,1,1,1,Every 3 Months,3.89,1,0,1.0,Unsatisfied,0.1875,0.0,0.1632653061224489,12.64,Bronze,0.0,0.0,35.0,0.0,1.0,No,7.5,Low Risk,6.53,0.7600000000000002,0.0,30.3,Low,Low,Discount Hunters,Promo Locked,Winter,Outerwear
595,83,83.0,83,6,2.5,35,Male,Oklahoma,Yes,Debit Card,Next Day Air,1,1,1,1,Monthly,13.83,1,0,1.0,Unsatisfied,0.7875000000000001,0.0,0.1020408163265306,41.42,Gold,0.0,0.0,83.0,0.0,1.0,No,31.5,High Risk,4.08,0.0,0.0,31.5,Low,Low,Discount Hunters,Promo Locked,Winter,Clothing
596,77,77.0,77,47,3.6,30,Male,Delaware,Yes,Paypal,Next Day Air,1,1,1,1,Quarterly,1.64,1,0,1.0,Unsatisfied,0.7125,0.0,0.9387755102040816,54.4,Platinum,0.0,0.0,77.0,0.0,1.0,No,28.5,Low Risk,37.55,0.4400000000000001,0.0,41.7,High,Low,Discount Hunters,Promo Locked,Summer,Footwear
597,37,37.0,37,36,4.5,23,Male,Montana,Yes,Venmo,Store Pickup,1,1,1,1,Annually,1.03,1,0,1.0,Unsatisfied,0.2125,0.0,0.7142857142857142,24.91,Silver,0.0,0.0,37.0,0.0,1.0,No,8.5,Low Risk,28.57,0.8,0.0,32.5,High,Low,Discount Hunters,Promo Locked,Summer,Footwear
598,69,69.0,69,19,3.4,70,Male,Alaska,Yes,Bank Transfer,Standard,1,1,1,1,Fortnightly,3.63,1,0,1.0,Unsatisfied,0.6125,0.0,0.3673469387755101,37.97,Gold,0.0,0.0,69.0,0.0,1.0,No,24.5,High Risk,14.69,0.3600000000000001,0.0,35.3,Medium,Low,Discount Hunters,Promo Locked,Summer,Accessories
599,66,66.0,66,30,3.2,21,Male,California,Yes,Cash,2-Day Shipping,1,1,1,1,Every 3 Months,2.2,1,0,1.0,Unsatisfied,0.5750000000000001,0.0,0.5918367346938774,40.59,Gold,0.0,0.0,66.0,0.0,1.0,No,23.0,High Risk,23.67,0.2800000000000002,0.0,31.4,Medium,Low,Discount Hunters,Promo Locked,Winter,Clothing
600,26,26.0,26,27,4.2,51,Male,Massachusetts,Yes,Debit Card,Standard,1,1,1,1,Every 3 Months,0.96,1,0,1.0,Unsatisfied,0.075,0.0,0.5306122448979591,14.36,Bronze,0.0,0.0,26.0,0.0,1.0,No,3.0,Low Risk,21.22,0.6800000000000002,0.0,23.4,Medium,Low,Discount Hunters,Promo Locked,Spring,Footwear
601,63,63.0,63,25,5.0,22,Male,South Carolina,Yes,Venmo,2-Day Shipping,1,1,1,1,Monthly,2.52,1,0,1.0,Unsatisfied,0.5375000000000001,0.0,0.4897959183673469,36.67,Gold,0.0,0.0,63.0,0.0,1.0,No,21.5,Low Risk,19.59,1.0,0.0,51.5,Medium,Medium,Discount Hunters,Promo Locked,Spring,Accessories
602,38,38.0,38,5,4.7,32,Male,West Virginia,Yes,Cash,Store Pickup,1,1,1,1,Fortnightly,7.6,1,0,1.0,Unsatisfied,0.225,0.0,0.0816326530612244,12.88,Bronze,0.0,0.0,38.0,0.0,1.0,No,9.0,Low Risk,3.27,0.8800000000000001,0.0,35.4,Low,Low,Discount Hunters,Promo Locked,Summer,Accessories
603,58,58.0,58,10,4.2,37,Male,Oregon,Yes,Cash,Next Day Air,1,1,1,1,Every 3 Months,5.8,1,0,1.0,Unsatisfied,0.4750000000000001,0.0,0.183673469387755,27.42,Silver,0.0,0.0,58.0,0.0,1.0,No,19.0,Low Risk,7.35,0.6800000000000002,0.0,39.4,Low,Low,Discount Hunters,Promo Locked,Summer,Footwear
604,46,46.0,46,26,3.4,31,Male,Massachusetts,Yes,Paypal,2-Day Shipping,1,1,1,1,Every 3 Months,1.77,1,0,1.0,Unsatisfied,0.325,0.0,0.510204081632653,26.45,Silver,0.0,0.0,46.0,0.0,1.0,No,13.0,High Risk,20.41,0.3600000000000001,0.0,23.8,Medium,Low,Discount Hunters,Promo Locked,Winter,Accessories
605,92,92.0,92,11,4.4,44,Male,West Virginia,Yes,Credit Card,Store Pickup,1,1,1,1,Every 3 Months,8.36,1,0,1.0,Unsatisfied,0.9000000000000001,0.0,0.2040816326530612,49.08,Platinum,0.0,0.0,92.0,0.0,1.0,No,36.0,Low Risk,8.16,0.7600000000000002,0.0,58.8,Low,Medium,Discount Hunters,Promo Locked,Fall,Accessories
606,32,32.0,32,17,4.2,40,Male,California,Yes,Bank Transfer,Standard,1,1,1,1,Weekly,1.88,1,0,1.0,Unsatisfied,0.15,0.0,0.3265306122448979,14.03,Bronze,0.0,0.0,32.0,0.0,1.0,No,6.0,Low Risk,13.06,0.6800000000000002,0.0,26.4,Low,Low,Discount Hunters,Promo Locked,Winter,Accessories
607,90,90.0,90,44,4.5,27,Male,Colorado,Yes,Paypal,Standard,1,1,1,1,Monthly,2.05,1,0,1.0,Unsatisfied,0.875,0.0,0.8775510204081631,61.3,Platinum,0.0,0.0,90.0,0.0,1.0,No,35.0,Low Risk,35.1,0.8,0.0,59.0,High,Medium,Discount Hunters,Promo Locked,Spring,Accessories
608,23,23.0,23,44,2.8,47,Male,Indiana,Yes,Cash,Next Day Air,1,1,1,1,Monthly,0.52,1,0,1.0,Unsatisfied,0.0375,0.0,0.8775510204081631,19.43,Bronze,0.0,0.0,23.0,0.0,1.0,No,1.5,High Risk,35.1,0.1199999999999998,0.0,5.1,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
609,25,25.0,25,21,3.3,41,Male,Delaware,Yes,Venmo,Next Day Air,1,1,1,1,Every 3 Months,1.19,1,0,1.0,Unsatisfied,0.0625,0.0,0.4081632653061224,11.29,Bronze,0.0,0.0,25.0,0.0,1.0,No,2.5,High Risk,16.33,0.32,0.0,12.1,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
610,54,54.0,54,49,4.6,51,Male,Ohio,Yes,Credit Card,Next Day Air,1,1,1,1,Fortnightly,1.1,1,0,1.0,Unsatisfied,0.425,0.0,0.9795918367346936,40.84,Gold,0.0,0.0,54.0,0.0,1.0,No,17.0,Low Risk,39.18,0.8399999999999999,0.0,42.2,High,Low,Discount Hunters,Promo Locked,Fall,Clothing
611,72,72.0,72,27,2.5,53,Male,Oklahoma,Yes,Bank Transfer,Free Shipping,1,1,1,1,Every 3 Months,2.67,1,0,1.0,Unsatisfied,0.65,0.0,0.5306122448979591,43.11,Gold,0.0,0.0,72.0,0.0,1.0,No,26.0,High Risk,21.22,0.0,0.0,26.0,Medium,Low,Discount Hunters,Promo Locked,Summer,Clothing
612,33,33.0,33,19,4.7,43,Male,California,Yes,Cash,Store Pickup,1,1,1,1,Monthly,1.74,1,0,1.0,Unsatisfied,0.1625,0.0,0.3673469387755101,15.47,Bronze,0.0,0.0,33.0,0.0,1.0,No,6.5,Low Risk,14.69,0.8800000000000001,0.0,32.9,Medium,Low,Discount Hunters,Promo Locked,Winter,Accessories
613,43,43.0,43,33,4.6,67,Male,New Hampshire,Yes,Credit Card,Express,1,1,1,1,Quarterly,1.3,1,0,1.0,Unsatisfied,0.2875,0.0,0.6530612244897959,27.44,Silver,0.0,0.0,43.0,0.0,1.0,No,11.5,Low Risk,26.12,0.8399999999999999,0.0,36.7,Medium,Low,Discount Hunters,Promo Locked,Fall,Accessories
614,51,51.0,51,46,2.6,61,Male,Pennsylvania,Yes,Cash,Standard,1,1,1,1,Bi-Weekly,1.11,1,0,1.0,Unsatisfied,0.3875,0.0,0.9183673469387754,37.74,Gold,0.0,0.0,51.0,0.0,1.0,No,15.5,High Risk,36.73,0.04,0.0,16.7,High,Low,Discount Hunters,Promo Locked,Fall,Outerwear
615,85,85.0,85,21,4.0,68,Male,Idaho,Yes,Credit Card,Standard,1,1,1,1,Bi-Weekly,4.05,1,0,1.0,Unsatisfied,0.8125,0.0,0.4081632653061224,48.79,Platinum,0.0,0.0,85.0,0.0,1.0,No,32.5,Low Risk,16.33,0.6000000000000001,0.0,50.5,Medium,Medium,Discount Hunters,Promo Locked,Winter,Accessories
616,100,100.0,100,23,2.6,67,Male,Maryland,Yes,Venmo,Next Day Air,1,1,1,1,Annually,4.35,1,0,1.0,Unsatisfied,1.0,0.0,0.4489795918367346,58.98,Platinum,0.0,0.0,100.0,0.0,1.0,No,40.0,High Risk,17.96,0.04,0.0,41.2,Medium,Low,Discount Hunters,Promo Locked,Summer,Footwear
617,72,72.0,72,38,4.6,29,Male,Pennsylvania,Yes,Credit Card,Free Shipping,1,1,1,1,Every 3 Months,1.89,1,0,1.0,Unsatisfied,0.65,0.0,0.7551020408163265,47.6,Platinum,0.0,0.0,72.0,0.0,1.0,No,26.0,Low Risk,30.2,0.8399999999999999,0.0,51.2,High,Medium,Discount Hunters,Promo Locked,Spring,Accessories
618,57,57.0,57,2,2.6,50,Male,Colorado,Yes,Bank Transfer,Standard,1,1,1,1,Quarterly,28.5,1,0,1.0,Unsatisfied,0.4625,0.0,0.0204081632653061,23.53,Silver,0.0,0.0,57.0,0.0,1.0,No,18.5,High Risk,0.82,0.04,0.0,19.7,Low,Low,Discount Hunters,Promo Locked,Fall,Accessories
619,94,94.0,94,21,4.0,61,Male,Indiana,Yes,Debit Card,Express,1,1,1,1,Bi-Weekly,4.48,1,0,1.0,Unsatisfied,0.925,0.0,0.4081632653061224,54.41,Platinum,0.0,0.0,94.0,0.0,1.0,No,37.0,Low Risk,16.33,0.6000000000000001,0.0,55.0,Medium,Medium,Discount Hunters,Promo Locked,Spring,Outerwear
620,34,34.0,34,1,4.6,19,Male,Nebraska,Yes,Debit Card,Store Pickup,1,1,1,1,Every 3 Months,34.0,1,0,1.0,Unsatisfied,0.175,0.0,0.0,8.75,Bronze,0.0,0.0,34.0,0.0,1.0,No,7.0,Low Risk,0.0,0.8399999999999999,0.0,32.2,Low,Low,Discount Hunters,Promo Locked,Summer,Accessories
621,89,89.0,89,10,3.7,33,Male,Rhode Island,Yes,Venmo,2-Day Shipping,1,1,1,1,Every 3 Months,8.9,1,0,1.0,Unsatisfied,0.8625,0.0,0.183673469387755,46.8,Gold,0.0,0.0,89.0,0.0,1.0,No,34.5,Low Risk,7.35,0.4800000000000002,0.0,48.9,Low,Medium,Discount Hunters,Promo Locked,Fall,Accessories
622,27,27.0,27,45,4.4,51,Male,Kansas,Yes,Credit Card,Store Pickup,1,1,1,1,Weekly,0.6,1,0,1.0,Unsatisfied,0.0875,0.0,0.8979591836734693,22.33,Silver,0.0,0.0,27.0,0.0,1.0,No,3.5,Low Risk,35.92,0.7600000000000002,0.0,26.3,High,Low,Discount Hunters,Promo Locked,Fall,Accessories
623,63,63.0,63,44,4.0,69,Male,Georgia,Yes,Bank Transfer,Next Day Air,1,1,1,1,Fortnightly,1.43,1,0,1.0,Unsatisfied,0.5375000000000001,0.0,0.8775510204081631,44.43,Gold,0.0,0.0,63.0,0.0,1.0,No,21.5,Low Risk,35.1,0.6000000000000001,0.0,39.5,High,Low,Discount Hunters,Promo Locked,Spring,Clothing
624,70,70.0,70,48,4.7,19,Male,Nevada,Yes,Paypal,Standard,1,1,1,1,Bi-Weekly,1.46,1,0,1.0,Unsatisfied,0.625,0.0,0.9591836734693876,50.43,Platinum,0.0,0.0,70.0,0.0,1.0,No,25.0,Low Risk,38.37,0.8800000000000001,0.0,51.4,High,Medium,Discount Hunters,Promo Locked,Fall,Footwear
